date,SPY,QQQ,IWM,EFA,EEM,TLT,IEF,SHY,LQD,HYG,GLD,SLV,VNQ,DBC,USO,XLK,XLF,XLV,XLE,XLY
2015-01-02,170.125,94.66504669189453,102.78699493408203,43.7806282043457,30.355051040649414,93.3673095703125,82.8684310913086,68.89410400390625,80.71072387695312,49.04616165161133,114.08000183105469,15.109999656677246,52.54987716674805,15.412325859069824,159.1199951171875,18.084280014038086,16.274782180786133,57.057830810546875,25.548057556152344,31.63665008544922
2015-01-05,167.05259704589844,93.27644348144531,101.41281127929688,42.74717712402344,29.814817428588867,94.83395385742188,83.37407684326172,68.89410400390625,81.0407485961914,48.59183883666992,115.80000305175781,15.5,52.83748245239258,15.192513465881348,150.32000732421875,17.80820655822754,15.932580947875977,56.766841888427734,24.491182327270508,31.031570434570312
2015-01-06,165.47914123535156,92.0257797241211,99.6583480834961,42.26298522949219,29.68954086303711,96.54261779785156,83.93411254882812,68.92667388916016,81.37073516845703,48.40571594238281,117.12000274658203,15.829999923706055,53.361568450927734,15.048789978027344,144.39999389648438,17.5935001373291,15.689085960388184,56.575626373291016,24.131404876708984,30.72239112854004
2015-01-07,167.5411834716797,93.21208190917969,100.88562774658203,42.732723236083984,30.33156394958496,96.35194396972656,83.91854095458984,68.95933532714844,81.47854614257812,48.706790924072266,116.43000030517578,15.850000381469727,54.17967224121094,14.955794334411621,146.9600067138672,17.74248504638672,15.853608131408691,57.905853271484375,24.182802200317383,31.20823097229004
2015-01-08,170.5142059326172,94.99612426757812,102.59685516357422,43.31087875366211,30.848312377929688,95.0759506225586,83.57630157470703,68.95118713378906,81.21586608886719,49.0734977722168,115.94000244140625,15.640000343322754,54.38418960571289,15.014972686767578,148.39999389648438,18.132476806640625,16.090517044067383,58.89518356323242,24.72569465637207,31.67639923095703
2015-01-09,169.14781188964844,94.37079620361328,101.61157989501953,43.10129928588867,30.74652862548828,96.1173095703125,83.98858642578125,69.0081787109375,81.43138122558594,49.31987762451172,117.26000213623047,15.770000457763672,54.40977478027344,14.989608764648438,146.24000549316406,18.075510025024414,15.873353958129883,58.37140655517578,24.529743194580078,31.309812545776367
2015-01-12,167.82275390625,93.38677215576172,101.2745132446289,43.000118255615234,30.495981216430664,96.66728210449219,84.28412628173828,69.04891204833984,81.5863265991211,49.25963592529297,118.55999755859375,15.869999885559082,54.8251953125,14.65988826751709,139.27999877929688,17.86518096923828,15.741728782653809,58.39636993408203,23.823015213012695,31.14198875427246
2015-01-13,167.35072326660156,93.35919952392578,101.35232543945312,43.21693420410156,30.762187957763672,96.66728210449219,84.3619384765625,69.08968353271484,81.66038513183594,49.25963592529297,118.16000366210938,16.290000915527344,54.74209213256836,14.600706100463867,140.9600067138672,17.852033615112305,15.689085960388184,58.13863754272461,23.633487701416016,31.14198875427246
2015-01-14,166.3404083251953,92.84422302246094,100.94609069824219,43.09407424926758,30.589937210083008,97.40064239501953,84.75090789794922,69.13046264648438,81.80181884765625,49.144683837890625,117.97000122070312,16.1299991607666,55.21507263183594,14.76133918762207,146.16000366210938,17.75124740600586,15.46532917022705,58.047183990478516,23.707368850708008,30.766572952270508
2015-01-15,164.81661987304688,91.6395263671875,99.24349975585938,43.36869812011719,30.660400390625,98.93327331542969,85.47433471679688,69.23632049560547,82.22616577148438,48.84362030029297,120.94000244140625,16.149999618530273,55.342899322509766,14.55843448638916,139.60000610351562,17.52338409423828,15.2744779586792,57.42365264892578,23.40540313720703,30.36907958984375
