solver,selected,cardinality,base_objective,gap_vs_exact
exact_constrained,"IEF,SHY,LQD,HYG,DBC",5,-0.030212466009142673,0.0
top_k_mu,"EEM,SLV,USO,XLV,XLY",5,-0.02579388401875335,0.004418581990389324
local_search,"IEF,SHY,LQD,HYG,DBC",5,-0.030212466009142673,0.0
neal_qubo,"IEF,HYG,VNQ,DBC,XLV",5,-0.02979080809267317,0.00042165791646950335
