n_assets,solver,mean_runtime_seconds,median_runtime_seconds,mean_gap_vs_exact,feasibility_rate
8,top_k_mu,4.1180639527738094e-05,3.095896681770682e-05,0.006815179825499155,1.0
8,greedy,0.0006924719976571699,0.0006909159710630774,0.0,1.0
8,local_search,0.001062152674421668,0.001057291985489428,0.0,1.0
8,exact_constrained,0.0013926806665646534,0.0013447499950416386,0.0,1.0
8,neal_qubo,0.0031277360006545982,0.0024738749489188194,0.008713210199584487,1.0
8,exact_qubo,0.004668596666306257,0.004661166050937027,0.0,1.0
8,annealing_qubo,0.3118979996846368,0.3128303330158815,0.0014487572915410734,1.0
10,top_k_mu,3.1444651540368795e-05,3.166694659739733e-05,0.0,1.0
10,greedy,0.0009201113328648111,0.0009049589862115681,0.0,1.0
10,local_search,0.0014997640003760655,0.0014898749650456011,0.0,1.0
10,neal_qubo,0.0027932776720263064,0.0027752909809350967,0.012203558039656004,1.0
10,exact_constrained,0.006037180350782971,0.005863291036803275,0.0,1.0
10,exact_qubo,0.025847888997911166,0.02522991702426225,0.0,1.0
10,annealing_qubo,0.4196023333158034,0.41760483296820894,0.02515343845377571,1.0
12,top_k_mu,3.476402101417383e-05,3.408401971682906e-05,0.006800369348902806,1.0
12,greedy,0.0011388333320307236,0.001133750018198043,0.0,1.0
12,local_search,0.001947666654208054,0.0019387499778531492,0.0,1.0
12,neal_qubo,0.0032493613155869148,0.003275625000242144,0.058310722420853035,1.0
12,exact_constrained,0.018547638998522114,0.018632209044881165,0.0,1.0
12,exact_qubo,0.1344547363308569,0.1344071250059642,0.0,1.0
12,annealing_qubo,0.5510171943266565,0.5512084160000086,0.034418623848329194,1.0
14,top_k_mu,3.759733711679777e-05,3.954197745770216e-05,0.013918381798347682,1.0
14,greedy,0.001377624672992776,0.0013783330214209855,0.0,1.0
14,local_search,0.002414694696199149,0.0024275000323541462,0.0,1.0
14,neal_qubo,0.003536874680624654,0.0034044160274788737,0.04773954415095344,1.0
14,exact_constrained,0.0470892220037058,0.04693041701102629,0.0,1.0
14,exact_qubo,0.6912779999935689,0.6923471249756403,0.0,1.0
14,annealing_qubo,0.7042405973382605,0.7031027090270072,0.04873388622509589,1.0
16,top_k_mu,3.9555675660570465e-05,4.058296326547861e-05,0.00861700354057049,1.0
16,greedy,0.0016095000125157337,0.0016018750029616058,0.0,1.0
16,local_search,0.0028540556668303907,0.002847417024895549,0.0,1.0
16,neal_qubo,0.0036405420008425913,0.0036954579991288483,0.1121322501130853,1.0
16,exact_constrained,0.10242901399033144,0.10279504198115319,0.0,1.0
16,annealing_qubo,0.8668551249817634,0.8689740829868242,0.08248996200508683,1.0
16,exact_qubo,3.477639264000269,3.4785483749583364,0.0,1.0
18,top_k_mu,4.018034087494016e-05,4.2666972149163485e-05,0.016860307816340254,1.0
18,greedy,0.0018674583407118917,0.0018530410015955567,0.001634460534942613,1.0
18,local_search,0.003386277996469289,0.003366208984516561,0.001634460534942613,1.0
18,neal_qubo,0.0037156110047362745,0.003594416019041091,0.09858942508229283,1.0
18,exact_constrained,0.2061784583105085,0.20548925001639873,0.0,1.0
18,annealing_qubo,1.0609861806345482,1.0615074169472791,0.06866616813895131,1.0
20,top_k_mu,4.97913376117746e-05,4.779099253937602e-05,0.015691486227736473,1.0
20,greedy,0.0021013476653024554,0.0020977919921278954,0.0017461048774864059,1.0
20,neal_qubo,0.003958764000951002,0.0038589159958064556,0.14478256816624718,1.0
20,local_search,0.0044417640116686625,0.003896709007676691,0.0,1.0
20,exact_constrained,0.3734193469863385,0.3734404999995604,0.0,1.0
20,annealing_qubo,1.2763191530054125,1.2791604170342907,0.11842302010040462,1.0
