n_assets,cardinality,seed,solver,runtime_seconds,selected_cardinality,feasible,base_objective,gap_vs_exact
8,5,2026,exact_constrained,0.0015070830122567713,5,True,-0.4728379265577891,0.0
8,5,2026,top_k_mu,6.220798240974545e-05,5,True,-0.45239238708129165,0.020445539476497465
8,5,2026,greedy,0.0006992500275373459,5,True,-0.4728379265577891,0.0
8,5,2026,local_search,0.0010738330311141908,5,True,-0.4728379265577891,0.0
8,5,2026,annealing_qubo,0.31359820801299065,5,True,-0.4728379265577891,0.0
8,5,2026,neal_qubo,0.004486958030611277,5,True,-0.44669829595903565,0.02613963059875346
8,5,2026,exact_qubo,0.004661166050937027,5,True,-0.4728379265577891,0.0
8,5,2027,exact_constrained,0.0013447499950416386,5,True,-0.5093820766521557,0.0
8,5,2027,top_k_mu,3.095896681770682e-05,5,True,-0.5093820766521557,0.0
8,5,2027,greedy,0.0006872499943710864,5,True,-0.5093820766521557,0.0
8,5,2027,local_search,0.001057291985489428,5,True,-0.5093820766521557,0.0
8,5,2027,annealing_qubo,0.3128303330158815,5,True,-0.5093820766521557,0.0
8,5,2027,neal_qubo,0.002422375022433698,5,True,-0.5093820766521557,0.0
8,5,2027,exact_qubo,0.0047241659485735,5,True,-0.5093820766521557,0.0
8,5,2028,exact_constrained,0.00132620899239555,5,True,-0.39843949973343495,0.0
8,5,2028,top_k_mu,3.0374969355762005e-05,5,True,-0.39843949973343495,0.0
8,5,2028,greedy,0.0006909159710630774,5,True,-0.39843949973343495,0.0
8,5,2028,local_search,0.0010553330066613853,5,True,-0.39843949973343495,0.0
8,5,2028,annealing_qubo,0.30926545802503824,5,True,-0.39409322785881173,0.00434627187462322
8,5,2028,neal_qubo,0.0024738749489188194,5,True,-0.39843949973343495,0.0
8,5,2028,exact_qubo,0.004620457999408245,5,True,-0.39843949973343495,0.0
10,5,2026,exact_constrained,0.005836708005517721,5,True,-0.4982042120339121,0.0
10,5,2026,top_k_mu,3.266701241955161e-05,5,True,-0.4982042120339121,0.0
10,5,2026,greedy,0.000901249994058162,5,True,-0.4982042120339121,0.0
10,5,2026,local_search,0.0014898749650456011,5,True,-0.4982042120339121,0.0
10,5,2026,annealing_qubo,0.41564500000094995,5,True,-0.4826543480910797,0.015549863942832365
10,5,2026,neal_qubo,0.0027752909809350967,5,True,-0.49329889856010933,0.0049053134738027415
10,5,2026,exact_qubo,0.024960791983176023,5,True,-0.4982042120339121,0.0
10,5,2027,exact_constrained,0.005863291036803275,5,True,-0.44033312137252734,0.0
10,5,2027,top_k_mu,3.166694659739733e-05,5,True,-0.44033312137252734,0.0
10,5,2027,greedy,0.0009049589862115681,5,True,-0.44033312137252734,0.0
10,5,2027,local_search,0.001467042020522058,5,True,-0.44033312137252734,0.0
10,5,2027,annealing_qubo,0.41760483296820894,5,True,-0.41745862820212964,0.02287449317039769
10,5,2027,neal_qubo,0.0028925840160809457,5,True,-0.44033312137252734,0.0
10,5,2027,exact_qubo,0.027352957986295223,5,True,-0.44033312137252734,0.0
10,5,2028,exact_constrained,0.006411542010027915,5,True,-0.5235063982968154,0.0
10,5,2028,top_k_mu,2.9999995604157448e-05,5,True,-0.5235063982968154,0.0
10,5,2028,greedy,0.000954125018324703,5,True,-0.5235063982968154,0.0
10,5,2028,local_search,0.0015423750155605376,5,True,-0.5235063982968154,0.0
10,5,2028,annealing_qubo,0.4255571669782512,5,True,-0.48647044004871837,0.03703595824809708
10,5,2028,neal_qubo,0.0027119580190628767,5,True,-0.4918010376516502,0.03170536064516527
10,5,2028,exact_qubo,0.02522991702426225,5,True,-0.5235063982968154,0.0
12,5,2026,exact_constrained,0.01870258298004046,5,True,-0.6533877443183574,0.0
12,5,2026,top_k_mu,3.641704097390175e-05,5,True,-0.6504117366343174,0.0029760076840400496
12,5,2026,greedy,0.001133750018198043,5,True,-0.6533877443183574,0.0
12,5,2026,local_search,0.0019387499778531492,5,True,-0.6533877443183574,0.0
12,5,2026,annealing_qubo,0.551597292011138,5,True,-0.5996326888282767,0.05375505549008075
12,5,2026,neal_qubo,0.0033615839784033597,5,True,-0.5889088064776984,0.06447893784065906
12,5,2026,exact_qubo,0.1345706669962965,5,True,-0.6533877443183574,0.0
12,5,2027,exact_constrained,0.018308124970644712,5,True,-0.2230523078598316,0.0
12,5,2027,top_k_mu,3.408401971682906e-05,5,True,-0.20562720749716323,0.017425100362668366
12,5,2027,greedy,0.0011326249805279076,5,True,-0.2230523078598316,0.0
12,5,2027,local_search,0.0019284579902887344,5,True,-0.2230523078598316,0.0
12,5,2027,annealing_qubo,0.5512084160000086,5,True,-0.20125079360335615,0.021801514256475446
12,5,2027,neal_qubo,0.003275625000242144,5,True,-0.19659349807061333,0.026458809789218274
12,5,2027,exact_qubo,0.13438641699030995,5,True,-0.2230523078598316,0.0
12,5,2028,exact_constrained,0.018632209044881165,5,True,-0.5217693843790627,0.0
12,5,2028,top_k_mu,3.3791002351790667e-05,5,True,-0.5217693843790627,0.0
12,5,2028,greedy,0.0011501249973662198,5,True,-0.5217693843790627,0.0
12,5,2028,local_search,0.001975791994482279,5,True,-0.5217693843790627,0.0
12,5,2028,annealing_qubo,0.550245874968823,5,True,-0.49407008258063134,0.027699301798431386
12,5,2028,neal_qubo,0.0031108749681152403,5,True,-0.43777496474638095,0.08399441963268178
12,5,2028,exact_qubo,0.1344071250059642,5,True,-0.5217693843790627,0.0
14,5,2026,exact_constrained,0.04676033300347626,5,True,-0.40353472343117125,0.0
14,5,2026,top_k_mu,3.2875046599656343e-05,5,True,-0.40353472343117125,0.0
14,5,2026,greedy,0.0013583329855464399,5,True,-0.40353472343117125,0.0
14,5,2026,local_search,0.0023768750252202153,5,True,-0.40353472343117125,0.0
14,5,2026,annealing_qubo,0.7031027090270072,5,True,-0.3506873234286014,0.05284740000256982
