strategy,n_days,annual_return,annualized_mean_return,annual_volatility,sharpe,max_drawdown,cumulative_return,mean_turnover,mean_objective_gap_vs_exact,feasibility_rate
exact,2072.0,0.1081734740959619,0.1103752272314393,0.12327359880163183,0.8953679320180455,-0.17193552561156977,1.3268845540272438,0.20204081632653062,0.0,1.0
local_search,2072.0,0.10629489719279817,0.10862569638052263,0.12285039773817627,0.8842111900364386,-0.17193552561156977,1.294649535139786,0.20612244897959184,1.156962340423182e-06,1.0
top_k_mu,2072.0,0.15007669528244905,0.15649414503225595,0.18195562976321958,0.8600676177807915,-0.2538327990108604,2.157252170084359,0.21020408163265303,0.0026044754922989305,1.0
neal,2072.0,0.10630825388133514,0.10961993241822161,0.13041306068759642,0.8405594642151325,-0.21962338333766462,1.2948773344470257,0.6387755102040815,0.0014528611683140365,1.0
