,exact,top_k_mu,local_search
2020-02-03,5.5467531452335586e-05,0.004526917168757883,5.5467531452335586e-05
2020-02-04,0.002672781352384513,0.015302959960408648,0.002672781352384513
2020-02-05,0.0016103134968469934,0.014192779808836686,0.0016103134968469934
2020-02-06,0.0008035729513429456,-0.0006688292378589141,0.0008035729513429456
2020-02-07,-0.0003472660356049984,-0.007479557872864296,-0.0003472660356049984
2020-02-10,0.0016360620909211755,0.005211038975320093,0.0016360620909211755
2020-02-11,0.0006364574136360934,0.006588328987678827,0.0006364574136360934
2020-02-12,0.000513547080774779,0.008753183007582788,0.000513547080774779
2020-02-13,-0.0012493576272642136,-0.002102238882125862,-0.0012493576272642136
2020-02-14,0.0007107567094830403,-0.0019050801210984015,0.0007107567094830403
2020-02-18,-0.0009089926494746159,-0.0032880071231032875,-0.0009089926494746159
2020-02-19,0.00047377140274442733,0.0071689949209639,0.00047377140274442733
2020-02-20,0.00045175888838406837,-0.0027013765325460295,0.00045175888838406837
2020-02-21,0.000254396244276589,-0.01222690725711395,0.000254396244276589
2020-02-24,-0.00823220437602503,-0.03784365709614505,-0.00823220437602503
2020-02-25,-0.003727704192922521,-0.030014055791114182,-0.003727704192922521
2020-02-26,-0.00025072074170984227,-0.008658275184523867,-0.00025072074170984227
2020-02-27,-0.008473923673088213,-0.041755189756963934,-0.008473923673088213
2020-02-28,0.004820398592892184,-0.0061842187271889506,0.004820398592892184
2020-03-02,0.0036710484004389256,-0.0003712065696506175,0.0036710484004389256
2020-03-03,0.0029214682197707506,0.0076446650273579225,0.0029214682197707506
2020-03-04,0.008596417776647991,0.0004915776905801473,0.008596417776647991
2020-03-05,-0.005714173828007008,0.004574725908901688,-0.005714173828007008
2020-03-06,-0.0015967318419053856,0.011810793568739975,-0.0015967318419053856
2020-03-09,-0.026092229412668068,-0.00515743869475336,-0.026092229412668068
2020-03-10,0.0013934631841581164,-0.016231646940746282,0.0013934631841581164
2020-03-11,-0.02335190688541913,-0.020518436479048142,-0.02335190688541913
2020-03-12,-0.03945999881383346,-0.016240151597804918,-0.03945999881383346
2020-03-13,0.026011503232694234,0.009384138002012033,0.026011503232694234
2020-03-16,-0.02886845405074192,0.0047234168455882585,-0.02886845405074192
2020-03-17,-0.0020583968900573122,-0.025131514575870262,-0.0020583968900573122
2020-03-18,-0.033318766105609,-0.033146275374795774,-0.033318766105609
2020-03-19,-0.010258299323389886,-0.007925432098531693,-0.010258299323389886
2020-03-20,0.0018845648107086443,0.01940050804276068,0.0018845648107086443
2020-03-23,0.011832366559158048,0.02241215248024782,0.011832366559158048
2020-03-24,0.027655936752657095,0.006986696297990825,0.027655936752657095
2020-03-25,0.022050909608305826,0.015093932821960521,0.022050909608305826
2020-03-26,0.018972629117748375,0.011009359916658879,0.018972629117748375
2020-03-27,-0.004148556973838225,0.006887485605593735,-0.004148556973838225
2020-03-30,0.008751576264867778,0.0030572578499022287,0.008751576264867778
2020-03-31,-0.0036841663292125795,-0.0035646267251809418,-0.0036841663292125795
2020-04-01,-0.03801367188146816,-0.04515288569482208,-0.03801367188146816
2020-04-02,0.012210812669769311,0.030704138035006826,0.012210812669769311
2020-04-03,-0.014594310195044003,-0.014003725128945124,-0.014594310195044003
2020-04-06,0.04472463693730676,0.05419496655944189,0.04472463693730676
2020-04-07,0.0016315389780226844,0.004674513357073407,0.0016315389780226844
2020-04-08,0.0323157769411325,0.04713244936658132,0.0323157769411325
2020-04-09,0.03934051304671603,0.026641461895101887,0.03934051304671603
2020-04-13,-0.01688004448328786,-0.01550535157064812,-0.01688004448328786
2020-04-14,0.015665739165734726,0.018036883658734414,0.015665739165734726
2020-04-15,-0.01572947334776842,-0.024464313207883163,-0.01572947334776842
2020-04-16,0.001008177739270377,-0.005689886995355088,0.001008177739270377
2020-04-17,0.01744980075374327,0.03813286594646126,0.01744980075374327
2020-04-20,-0.01614471452286093,-0.021801201405651872,-0.01614471452286093
2020-04-21,-0.01797319153115531,-0.022966718081030325,-0.01797319153115531
2020-04-22,0.011375116079294801,0.019428509099509484,0.011375116079294801
2020-04-23,-0.00044511729750558167,0.005767141943573263,-0.00044511729750558167
2020-04-24,0.0038420458359803788,0.0049230045158729085,0.0038420458359803788
2020-04-27,0.011262877438069176,0.017451426699499662,0.011262877438069176
2020-04-28,0.00026697435337814674,0.0018826401537367812,0.00026697435337814674
2020-04-29,0.014175356616981329,0.02790649703843897,0.014175356616981329
2020-04-30,-0.008338897227085074,-0.009119422707175452,-0.008338897227085074
2020-05-01,-0.004324796852329938,-0.03911963416061339,-0.004324796852329938
2020-05-04,0.0012288679089523138,0.010219987880576055,0.0012288679089523138
2020-05-05,0.005421944236124387,0.005683389761012103,0.005421944236124387
2020-05-06,-0.008972286403929018,-0.009088859488830137,-0.008972286403929018
2020-05-07,0.006487037808108111,0.016508290334074173,0.006487037808108111
2020-05-08,0.0027706013210303743,0.028221136320124973,0.0027706013210303743
2020-05-11,-0.005759450959360413,-0.00606708195128316,-0.005759450959360413
2020-05-12,0.000885623916880207,-0.028356807519911296,0.000885623916880207
2020-05-13,-0.0012470884406139417,-0.02657246961925941,-0.0012470884406139417
2020-05-14,0.00502471979055923,0.008846220729455734,0.00502471979055923
2020-05-15,0.001733467117847787,0.005255745854080951,0.001733467117847787
2020-05-18,0.0034638948216539015,0.05161624415205153,0.0034638948216539015
2020-05-19,0.0011535888955176432,-0.01345774599368219,0.0011535888955176432
2020-05-20,0.006249090409827263,0.02242652117662112,0.006249090409827263
2020-05-21,-0.0003198360294567326,-0.004145654307277446,-0.0003198360294567326
2020-05-22,0.000528809528145291,0.0028226403062314724,0.000528809528145291
2020-05-26,0.0003726598126932994,0.021432541237801826,0.0003726598126932994
2020-05-27,-0.0024041887005261,0.01729172076564196,-0.0024041887005261
2020-05-28,0.0004122102140898811,-0.012066841968402842,0.0004122102140898811
2020-05-29,0.0063282042945476125,-0.00040647237361901567,0.0063282042945476125
2020-06-01,0.0012527043268469207,0.012384257353689556,0.0012527043268469207
2020-06-02,0.0031213185656589816,0.012150777591529226,0.0031213185656589816
2020-06-03,-0.0030720239984782134,0.02015184000169956,-0.0030720239984782134
2020-06-04,-0.002594080362919949,-0.0035108093365276765,-0.002594080362919949
2020-06-05,0.0033708464282070196,0.034784323945736745,0.0033708464282070196
2020-06-08,-0.0001223035569735576,0.020085831668721625,-0.0001223035569735576
2020-06-09,0.0021510265258199994,-0.013919605684481874,0.0021510265258199994
2020-06-10,0.005593706726316851,-0.01518958765140719,0.005593706726316851
2020-06-11,-0.007207813519944995,-0.06519546671232238,-0.007207813519944995
2020-06-12,0.0005178427794213067,0.01686879117449349,0.0005178427794213067
2020-06-15,0.003672656603833802,0.010379516957980296,0.003672656603833802
2020-06-16,-0.0010349362256259155,0.020678071573479385,-0.0010349362256259155
2020-06-17,-0.0007063769324982428,-0.009573191600959485,-0.0007063769324982428
2020-06-18,0.0036189356602918774,0.0011407152945611234,0.0036189356602918774
2020-06-19,0.0012341382735221451,-0.006635367564007356,0.0012341382735221451
2020-06-22,0.0017614829699595493,0.009772415280519153,0.0017614829699595493
2020-06-23,-0.0020600192136122518,0.005422938107209507,-0.0020600192136122518
2020-06-24,-0.0045024915432312134,-0.031234470508380047,-0.0045024915432312134
2020-06-25,0.002502152377434808,0.011862114395383339,0.002502152377434808
2020-06-26,-0.001606014537303713,-0.02462070852497871,-0.001606014537303713
2020-06-29,0.001802159946592341,0.01682487203432026,0.001802159946592341
2020-06-30,0.0014546430700437042,0.013598415380988427,0.0014546430700437042
2020-07-01,0.001479841111004898,-0.0018129339667346091,0.001479841111004898
2020-07-02,0.0028247812815659135,0.005549225219944587,0.0028247812815659135
2020-07-06,0.001857625733764823,0.007227849285033395,0.001857625733764823
2020-07-07,0.002328632478549819,-0.019143297204163724,0.002328632478549819
2020-07-08,0.001970622606672823,0.005847336951482718,0.001970622606672823
2020-07-09,0.0010778009062762496,-0.024682922499689286,0.0010778009062762496
2020-07-10,0.00048583013864116347,0.02146858763949866,0.00048583013864116347
2020-07-13,-0.0022700842730074998,-0.008782434625470148,-0.0022700842730074998
2020-07-14,0.0029584979976703396,0.015696411941020026,0.0029584979976703396
2020-07-15,0.0025427797497705965,0.02041242302609585,0.0025427797497705965
2020-07-16,-0.0002800992059275307,-0.005372492746887004,-0.0002800992059275307
2020-07-17,0.0004471828527677913,-0.001673327895991217,0.0004471828527677913
2020-07-20,0.0016156784800224423,-0.007355444098602738,0.0016156784800224423
2020-07-21,0.0041531924919886,0.02347319325669366,0.0041531924919886
2020-07-22,0.002289852144486293,0.0009076200856712236,0.002289852144486293
2020-07-23,0.0019259631638263385,-0.0031233265320482757,0.0019259631638263385
2020-07-24,0.000413112749335487,-0.005815969661663778,0.000413112749335487
2020-07-27,0.0012111397231347133,0.00444093822356717,0.0012111397231347133
2020-07-28,0.00031060249733436693,-0.004411262808085859,0.00031060249733436693
2020-07-29,0.0021593117991270507,0.017702062620217916,0.0021593117991270507
2020-07-30,-0.00021655595975189667,-0.017863622321685237,-0.00021655595975189667
2020-07-31,0.0014069116427404271,-0.002138302014403348,0.0014069116427404271
2020-08-03,0.0009537604177475068,0.010156945313877919,0.0009537604177475068
2020-08-04,0.003615023547185059,0.009701081703770865,0.003615023547185059
2020-08-05,-0.0004340481953672313,0.009678931570773264,-0.0004340481953672313
2020-08-06,0.003301217076191243,0.0021622694448683033,0.003301217076191243
2020-08-07,-0.004968746474009045,0.00062087022371331,-0.004968746474009045
2020-08-10,3.976901234303918e-06,0.010459724615909138,3.976901234303918e-06
2020-08-11,-0.008089011468540065,-0.005293497901933564,-0.008089011468540065
2020-08-12,-0.0002593455326196149,0.01492033264728514,-0.0002593455326196149
2020-08-13,-0.002053759728162197,-0.0048200425872195534,-0.002053759728162197
2020-08-14,-0.001015422101230734,0.0003002041400318234,-0.001015422101230734
2020-08-17,0.005367757743143464,0.0062903727519228805,0.005367757743143464
2020-08-18,0.002551865437311829,-0.001400558140249908,0.002551865437311829
2020-08-19,-0.0026724552741131725,-0.00545855850132555,-0.0026724552741131725
2020-08-20,0.0027486253660176986,-0.0033101365680289654,0.0027486253660176986
2020-08-21,-0.0006367854334670129,-0.0013471436406598644,-0.0006367854334670129
2020-08-24,0.0013466416374523949,0.01451620217728147,0.0013466416374523949
2020-08-25,-0.0001261458371478062,-0.00023631135663153562,-0.0001261458371478062
2020-08-26,-0.0004260195619132601,0.0019338931880309891,-0.0004260195619132601
2020-08-27,-0.005177359851740216,-0.002859956189717328,-0.005177359851740216
2020-08-28,0.0017526020693475531,0.009012421648341373,0.0017526020693475531
2020-08-31,0.0011821557479523516,-0.006992181389769425,0.0011821557479523516
2020-09-01,0.004278656633405475,0.006670022461273995,0.004278656633405475
2020-09-02,-0.0002135672475925385,0.007967963570917204,-0.0002135672475925385
2020-09-03,-0.002229703376056014,-0.028390703176133545,-0.002229703376056014
2020-09-04,-0.00733340936784097,-0.006599919757173446,-0.00733340936784097
2020-09-08,-0.004303061245810836,-0.0258170399024972,-0.004303061245810836
2020-09-09,0.00283016874477755,0.01778170693647594,0.00283016874477755
2020-09-10,-0.0017137701506809487,-0.019128032078657476,-0.0017137701506809487
2020-09-11,0.0025930408359037486,-0.00023919214112060364,0.0025930408359037486
2020-09-14,-0.00027365279986537596,0.013488226040836129,-0.00027365279986537596
2020-09-15,0.0010679310489511542,0.004681947404584986,0.0010679310489511542
2020-09-16,0.0030089004558440102,0.005615721587378419,0.0030089004558440102
2020-09-17,0.0026873900790352016,-0.006825823077851978,0.0026873900790352016
2020-09-18,-0.0003786411269954826,-0.009705785611621387,-0.0003786411269954826
2020-09-21,-0.005174756234191525,-0.02111156107672405,-0.005174756234191525
2020-09-22,-0.00033415960897822396,0.007355419534595287,-0.00033415960897822396
2020-09-23,-0.004058933996245018,-0.026055052140621537,-0.004058933996245018
2020-09-24,0.0018927916182350348,0.0005901012789727212,0.0018927916182350348
2020-09-25,-0.00017411374472158235,0.011037883854492114,-0.00017411374472158235
2020-09-28,0.0024219943385351164,0.020985249246536553,0.0024219943385351164
2020-09-29,-0.0017742663238962566,-0.009082306931858875,-0.0017742663238962566
2020-09-30,0.0007034812740259078,0.0020364062329968125,0.0007034812740259078
2020-10-01,0.007320975923975449,-0.0022164067313689816,0.007320975923975449
2020-10-02,-0.013562302052002819,-0.01683914142521004,-0.013562302052002819
2020-10-05,0.01435130438094312,0.031075764233570214,0.01435130438094312
2020-10-06,-0.012694518478527251,-0.01422462887353955,-0.012694518478527251
2020-10-07,0.009743525379146644,0.013264238680251285,0.009743525379146644
2020-10-08,0.0059695878198395835,0.01569233573358182,0.0059695878198395835
2020-10-09,0.017769325726097865,0.010920872787239567,0.017769325726097865
2020-10-12,0.009487250084729462,0.007146637070554274,0.009487250084729462
2020-10-13,-0.006600910596152155,-0.00881862661432107,-0.006600910596152155
2020-10-14,-0.0004675854641688293,0.0022242466075505615,-0.0004675854641688293
2020-10-15,-0.0015449425743741863,0.00034845778294130287,-0.0015449425743741863
2020-10-16,-0.005080753979187081,-0.009229997217366549,-0.005080753979187081
2020-10-19,-0.006108760869011442,-0.01064867696857763,-0.006108760869011442
2020-10-20,0.005372454462019528,0.010603556724973241,0.005372454462019528
2020-10-21,-0.00043943043759944186,-0.008463796475032726,-0.00043943043759944186
2020-10-22,-0.005259818963677555,0.007388009143147279,-0.005259818963677555
